Exercise,Muscle_Involved,Pain_Level,Functional_Goal
Ankle Alphabet,Ankle,Moderate,Alleviate Pain
Standing Calf Stretch,Ankle,Moderate,Alleviate Pain
Heel Raises (Low Resistance),Ankle,Moderate,Alleviate Pain
Resistance Band Ankle Flexion,Ankle,Moderate,Alleviate Pain
Seated Ankle Dorsiflexion (With Band),Ankle,Moderate,Alleviate Pain
Toe Taps,Ankle,Moderate,Alleviate Pain
None,Ankle,Severe,Alleviate Pain
Supine Figure-4 Stretch,Gluteals,Low,Alleviate Pain
Seated Forward Fold,Gluteals,Low,Alleviate Pain
Cat-Cow Stretch with Glute Engagement,Gluteals,Low,Alleviate Pain
Standing Glute Squeeze,Gluteals,Low,Alleviate Pain
Side-Lying Clamshell (No Resistance),Gluteals,Low,Alleviate Pain
Bridge Pose (No Weight),Gluteals,Low,Alleviate Pain
Child’s Pose with Glute Focus,Gluteals,Moderate,Alleviate Pain
Kneeling Hip Flexor Stretch,Gluteals,Moderate,Alleviate Pain
Standing Figure-4 Stretch,Gluteals,Moderate,Alleviate Pain
Wall Glute Squeeze,Gluteals,Moderate,Alleviate Pain
Isometric Glute Contraction,Gluteals,Moderate,Alleviate Pain
Side-Lying Leg Raise,Gluteals,Moderate,Alleviate Pain
None,Gluteals,Severe,Alleviate Pain
Deep Breathing with Ab Engagement,Abdominals,Low,Alleviate Pain
Pelvic Tilts,Abdominals,Low,Alleviate Pain
Partial Crunches,Abdominals,Low,Alleviate Pain
Leg Lifts (Knees Bent),Abdominals,Low,Alleviate Pain
Diaphragmatic Breathing,Abdominals,Moderate,Alleviate Pain
Heel Slides,Abdominals,Moderate,Alleviate Pain
Dead Bug,Abdominals,Moderate,Alleviate Pain
Bird Dog,Abdominals,Moderate,Alleviate Pain
None,Abdominals,Severe,Alleviate Pain
Supine Trunk Rotation,Obliques,Low,Alleviate Pain
Seated Side Bends,Obliques,Low,Alleviate Pain
Seated Oblique Twists (No Weight),Obliques,Low,Alleviate Pain
Standing Side Stretch,Obliques,Low,Alleviate Pain
Diaphragmatic Breathing with Side Focus,Obliques,Moderate,Alleviate Pain
Supine Windshield Wipers (Feet on Floor),Obliques,Moderate,Alleviate Pain
Side Plank (Knees Bent),Obliques,Moderate,Alleviate Pain
Standing Side Crunch,Obliques,Moderate,Alleviate Pain
None,Obliques,Severe,Alleviate Pain
Cat-Cow Stretch,Lower Back,Low,Alleviate Pain
Knees-to-Chest Stretch,Lower Back,Low,Alleviate Pain
Child’s Pose,Lower Back,Low,Alleviate Pain
Pelvic Tilt (Lying Down),Lower Back,Low,Alleviate Pain
Bridge Pose (No Weight),Lower Back,Low,Alleviate Pain
Standing Back Extensions (No Weight),Lower Back,Low,Alleviate Pain
Seated Forward Fold,Lower Back,Moderate,Alleviate Pain
Supine Twist,Lower Back,Moderate,Alleviate Pain
Figure-4 Stretch with Lower Back Focus,Lower Back,Moderate,Alleviate Pain
Bird Dog (No Weight),Lower Back,Moderate,Alleviate Pain
Wall Glute Squeeze,Lower Back,Moderate,Alleviate Pain
Isometric Back Hold,Lower Back,Moderate,Alleviate Pain
None,Lower Back,Severe,Alleviate Pain
Diaphragmatic Breathing (Supine),Diaphragm,Low,Alleviate Pain
Supine Belly Breathing with Light Object,Diaphragm,Low,Alleviate Pain
Cat-Cow with Breath Focus,Diaphragm,Low,Alleviate Pain
Seated Diaphragm Activation,Diaphragm,Low,Alleviate Pain
Controlled Exhale Exercise,Diaphragm,Low,Alleviate Pain
Standing Diaphragm Press,Diaphragm,Low,Alleviate Pain
Seated Diaphragmatic Breathing,Diaphragm,Moderate,Alleviate Pain
Pursed-Lip Breathing,Diaphragm,Moderate,Alleviate Pain
Seated Side Stretch with Breathing,Diaphragm,Moderate,Alleviate Pain
Side-Lying Diaphragm Stretch,Diaphragm,Moderate,Alleviate Pain
Diaphragm Expansion Hold,Diaphragm,Moderate,Alleviate Pain
Rib Cage Contraction,Diaphragm,Moderate,Alleviate Pain
None,Diaphragm,Severe,Alleviate Pain
Cat-Cow Stretch,Multifidus,Low,Alleviate Pain
Bird Dog (No Weight),Multifidus,Low,Alleviate Pain
Knees-to-Chest Stretch,Multifidus,Low,Alleviate Pain
Pelvic Tilt (Lying Down),Multifidus,Low,Alleviate Pain
Standing Back Extension (No Weight),Multifidus,Low,Alleviate Pain
Bridge Pose (No Weight),Multifidus,Low,Alleviate Pain
Seated Forward Fold,Multifidus,Moderate,Alleviate Pain
Supine Twist,Multifidus,Moderate,Alleviate Pain
Child’s Pose with Side Reach,Multifidus,Moderate,Alleviate Pain
Wall Glute Squeeze,Multifidus,Moderate,Alleviate Pain
Bird Dog with Hold,Multifidus,Moderate,Alleviate Pain
Side Plank (Knees Bent),Multifidus,Moderate,Alleviate Pain
None,Multifidus,Severe,Alleviate Pain
Arm Circles (No Weight),Deltoids,Low,Strengthen Muscle 
Shoulder Rolls,Deltoids,Low,Strengthen Muscle 
Scapular Retractions,Deltoids,Low,Strengthen Muscle 
Wall Push-Ups,Deltoids,Low,Strengthen Muscle 
Side-Lying External Rotation,Deltoids,Low,Strengthen Muscle 
Lateral Arm Raises (No Weight),Deltoids,Low,Strengthen Muscle 
Overhead Reach Stretch,Deltoids,Moderate,Strengthen Muscle 
Sleeper Stretch,Deltoids,Moderate,Strengthen Muscle 
Shoulder Blade Squeezes,Deltoids,Moderate,Strengthen Muscle 
Front Shoulder Raise with Resistance Band,Deltoids,Moderate,Strengthen Muscle 
Dumbbell Side Raises (Light Weight),Deltoids,Moderate,Strengthen Muscle 
Bent-Over Reverse Fly (Light Weight),Deltoids,Moderate,Strengthen Muscle 
None,Deltoids,Severe,Strengthen Muscle 
Arm Circles (No Weight),Biceps,Low,Strengthen Muscle 
Shoulder Rolls,Biceps,Low,Strengthen Muscle 
Active Elbow Flexion,Biceps,Low,Strengthen Muscle 
Wall Bicep Curls,Biceps,Low,Strengthen Muscle 
Bicep Isometrics,Biceps,Low,Strengthen Muscle 
Wall Push-Ups (modified),Biceps,Low,Strengthen Muscle 
Standing Biceps Stretch,Biceps,Moderate,Strengthen Muscle 
Supine Bicep Stretch,Biceps,Moderate,Strengthen Muscle 
Gentle Elbow Flexion with Resistance Band,Biceps,Moderate,Strengthen Muscle 
Resistance Band Bicep Curls,Biceps,Moderate,Strengthen Muscle 
Hammer Curls (Light Weight),Biceps,Moderate,Strengthen Muscle 
Concentration Curl (Light Weight),Biceps,Moderate,Strengthen Muscle 
None,Biceps,Severe,Strengthen Muscle 
Wall Chest Stretch,Chest,Low,Strengthen Muscle 
Shoulder Rolls,Chest,Low,Strengthen Muscle 
Arm Circles,Chest,Low,Strengthen Muscle 
Incline Chest Press (No Weight),Chest,Low,Strengthen Muscle 
Wall Push-Ups,Chest,Low,Strengthen Muscle 
Seated Chest Squeeze (No Weight),Chest,Low,Strengthen Muscle 
Doorway Chest Stretch,Chest,Moderate,Strengthen Muscle 
Cat-Cow with Chest Expansion,Chest,Moderate,Strengthen Muscle 
Bent Arm Wall Stretch,Chest,Moderate,Strengthen Muscle 
Modified Floor Chest Press,Chest,Moderate,Strengthen Muscle 
Resistance Band Chest Press (Low Resistance),Chest,Moderate,Strengthen Muscle 
Incline Push-Ups,Chest,Moderate,Strengthen Muscle 
None,Chest,Severe,Strengthen Muscle 
Neck Tilt Stretch,Neck,Low,Strengthen Muscle 
Side-to-Side Neck Rotation,Neck,Low,Strengthen Muscle 
Shoulder Rolls,Neck,Low,Strengthen Muscle 
Chin Tucks (No Weight),Neck,Low,Strengthen Muscle 
Shoulder Blade Squeeze,Neck,Low,Strengthen Muscle 
Shoulder Shrugs (No Weight),Neck,Low,Strengthen Muscle 
Levator Scapula Stretch,Neck,Moderate,Strengthen Muscle 
Cat-Cow with Neck Movement,Neck,Moderate,Strengthen Muscle 
Neck Retraction,Neck,Moderate,Strengthen Muscle 
Isometric Neck Holds,Neck,Moderate,Strengthen Muscle 
Wall Angels,Neck,Moderate,Strengthen Muscle 
Resistance Band Rows (Low Resistance),Neck,Moderate,Strengthen Muscle 
None,Neck,Severe,Strengthen Muscle 
Overhead Triceps Stretch,Triceps,Low,Strengthen Muscle 
Arm Circles,Triceps,Low,Strengthen Muscle 
Cross-Body Arm Stretch,Triceps,Low,Strengthen Muscle 
Wall Push-Ups,Triceps,Low,Strengthen Muscle 
Isometric Triceps Squeeze,Triceps,Low,Strengthen Muscle 
Seated Triceps Press (No Weight),Triceps,Low,Strengthen Muscle 
Wall Triceps Stretch,Triceps,Moderate,Strengthen Muscle 
Seated Arm Extension,Triceps,Moderate,Strengthen Muscle 
Overhead Reach with Support,Triceps,Moderate,Strengthen Muscle 
Modified Wall Push-Up,Triceps,Moderate,Strengthen Muscle 
Resistance Band Triceps Extensions (Low Resistance),Triceps,Moderate,Strengthen Muscle 
Chair Dips (No Weight),Triceps,Moderate,Strengthen Muscle 
None,Triceps,Severe,Strengthen Muscle 
Seated Leg Extension (No Weight),Quadriceps,Low,Strengthen Muscle 
Quadriceps Activation,Quadriceps,Low,Strengthen Muscle 
Heel Slides,Quadriceps,Low,Strengthen Muscle 
Wall Sit (No Weight),Quadriceps,Low,Strengthen Muscle 
Mini Squats,Quadriceps,Low,Strengthen Muscle 
Standing Quad Contractions,Quadriceps,Low,Strengthen Muscle 
Standing Quadriceps Stretch,Quadriceps,Moderate,Strengthen Muscle 
Step-Ups on Low Platform,Quadriceps,Moderate,Strengthen Muscle 
Chair Squats,Quadriceps,Moderate,Strengthen Muscle 
Resistance Band Leg Extensions,Quadriceps,Moderate,Strengthen Muscle 
Mini Lunges,Quadriceps,Moderate,Strengthen Muscle 
Leg Press (Light Weight),Quadriceps,Moderate,Strengthen Muscle 
None,Quadriceps,Severe,Strengthen Muscle 
Leg Swings (No Weight),Hamstrings,Low,Strengthen Muscle 
Gentle Heel Slides,Hamstrings,Low,Strengthen Muscle 
Cat-Cow Stretch,Hamstrings,Low,Strengthen Muscle 
Standing Hamstring Curls,Hamstrings,Low,Strengthen Muscle 
Mini Deadlifts (No Weight),Hamstrings,Low,Strengthen Muscle 
Wall-Assisted Hamstring Curl,Hamstrings,Low,Strengthen Muscle 
Supine Hamstring Stretch,Hamstrings,Moderate,Strengthen Muscle 
Standing Forward Bend,Hamstrings,Moderate,Strengthen Muscle 
Downward Dog Pose,Hamstrings,Moderate,Strengthen Muscle 
Hamstring Curls with Resistance Band,Hamstrings,Moderate,Strengthen Muscle 
Single-Leg Deadlift (Light Weight),Hamstrings,Moderate,Strengthen Muscle 
Step-Ups on Low Platform,Hamstrings,Moderate,Strengthen Muscle 
None,Hamstrings,Severe,Strengthen Muscle 
Ankle Circles,Calf,Low,Strengthen Muscle 
Toe Taps,Calf,Low,Strengthen Muscle 
Gentle Heel Drops,Calf,Low,Strengthen Muscle 
Standing Calf Raises (No Weight),Calf,Low,Strengthen Muscle 
Seated Calf Raises,Calf,Low,Strengthen Muscle 
Calf Stretch with Resistance Band,Calf,Low,Strengthen Muscle 
Standing Calf Stretch,Calf,Moderate,Strengthen Muscle 
Toe Walking,Calf,Moderate,Strengthen Muscle 
Seated Calf Stretch,Calf,Moderate,Strengthen Muscle 
Resistance Band Calf Raises,Calf,Moderate,Strengthen Muscle 
Single-Leg Calf Raises (No Weight),Calf,Moderate,Strengthen Muscle 
Step-Ups,Calf,Moderate,Strengthen Muscle 
None,Calf,Severe,Strengthen Muscle 
Ankle Circles,Ankle,Low,Strengthen Muscle 
Toe Point and Flex,Ankle,Low,Strengthen Muscle 
Heel-to-Toe Rocks,Ankle,Low,Strengthen Muscle 
Calf Raises,Ankle,Low,Strengthen Muscle 
Towel Scrunches,Ankle,Low,Strengthen Muscle 
Seated Ankle Press,Ankle,Low,Strengthen Muscle 
Ankle Alphabet,Ankle,Moderate,Strengthen Muscle 
Standing Calf Stretch,Ankle,Moderate,Strengthen Muscle 
Heel Raises (Low Resistance),Ankle,Moderate,Strengthen Muscle 
Resistance Band Ankle Flexion,Ankle,Moderate,Strengthen Muscle 
Seated Ankle Dorsiflexion (With Band),Ankle,Moderate,Strengthen Muscle 
Toe Taps,Ankle,Moderate,Strengthen Muscle 
None,Ankle,Severe,Strengthen Muscle 
Glute Bridges,Gluteals,Low,Strengthen Muscle 
Clamshells (No Band),Gluteals,Low,Strengthen Muscle 
Supine Figure-4 Stretch with Glute Squeeze,Gluteals,Low,Strengthen Muscle 
Standing Leg Lifts (No Weight),Gluteals,Low,Strengthen Muscle 
Bodyweight Squats,Gluteals,Low,Strengthen Muscle 
Side-Lying Hip Abduction,Gluteals,Low,Strengthen Muscle 
Step-Ups (Low Step),Gluteals,Moderate,Strengthen Muscle 
Standing Glute Squeeze,Gluteals,Moderate,Strengthen Muscle 
Pigeon Pose (Modified for Glutes),Gluteals,Moderate,Strengthen Muscle 
Side-Lying Clamshell with Resistance Band,Gluteals,Moderate,Strengthen Muscle 
Single-Leg Bridge,Gluteals,Moderate,Strengthen Muscle 
Lunges (Bodyweight),Gluteals,Moderate,Strengthen Muscle 
None,Gluteals,Severe,Strengthen Muscle 
Pelvic Tilts,Abdominals,Low,Strengthen Muscle 
Cat-Cow Stretch,Abdominals,Low,Strengthen Muscle 
Diaphragmatic Breathing,Abdominals,Low,Strengthen Muscle 
Seated Knee Raises,Abdominals,Low,Strengthen Muscle 
Marching in Place (Seated),Abdominals,Low,Strengthen Muscle 
Heel Slides,Abdominals,Low,Strengthen Muscle 
Supine Twist Stretch,Abdominals,Moderate,Strengthen Muscle 
Bent-Knee Leg Drop,Abdominals,Moderate,Strengthen Muscle 
Bridge Exercise,Abdominals,Moderate,Strengthen Muscle 
Dead Bug Exercise (No Weight),Abdominals,Moderate,Strengthen Muscle 
Seated Russian Twists (Light Weight or No Weight),Abdominals,Moderate,Strengthen Muscle 
Standing Oblique Crunch,Abdominals,Moderate,Strengthen Muscle 
None,Abdominals,Severe,Strengthen Muscle 
Supine Trunk Rotation,Obliques,Low,Strengthen Muscle 
Cat-Cow Stretch with Side Bends,Obliques,Low,Strengthen Muscle 
Diaphragmatic Breathing with Side Focus,Obliques,Low,Strengthen Muscle 
Seated Oblique Twists (No Weight),Obliques,Low,Strengthen Muscle 
Side Plank (Knees Bent),Obliques,Low,Strengthen Muscle 
Standing Side Crunch,Obliques,Low,Strengthen Muscle 
Supine Oblique Stretch,Obliques,Moderate,Strengthen Muscle 
Russian Twists (No Weight or Light Weight),Obliques,Moderate,Strengthen Muscle 
Windshield Wipers (Knees Bent),Obliques,Moderate,Strengthen Muscle 
Side Plank (Full Extension),Obliques,Moderate,Strengthen Muscle 
Standing Wood Chop with Resistance Band,Obliques,Moderate,Strengthen Muscle 
Bicycle Crunches (No Weight),Obliques,Moderate,Strengthen Muscle 
None,Obliques,Severe,Strengthen Muscle 
Cat-Cow Stretch,Lower Back,Low,Strengthen Muscle 
Bird Dog (No Weight),Lower Back,Low,Strengthen Muscle 
Knees-to-Chest Stretch,Lower Back,Low,Strengthen Muscle 
Pelvic Tilt (Lying Down),Lower Back,Low,Strengthen Muscle 
Bridge Pose (No Weight),Lower Back,Low,Strengthen Muscle 
Standing Back Extension,Lower Back,Low,Strengthen Muscle 
Child’s Pose with Lower Back Focus,Lower Back,Moderate,Strengthen Muscle 
Seated Forward Fold,Lower Back,Moderate,Strengthen Muscle 
Supine Twist,Lower Back,Moderate,Strengthen Muscle 
Wall Glute Squeeze,Lower Back,Moderate,Strengthen Muscle 
Bird Dog with Hold,Lower Back,Moderate,Strengthen Muscle 
Superman (No Weight),Lower Back,Moderate,Strengthen Muscle 
None,Lower Back,Severe,Strengthen Muscle 
Diaphragmatic Breathing (Supine),Diaphragm,Low,Strengthen Muscle 
Supine Belly Breathing with Light Object,Diaphragm,Low,Strengthen Muscle 
Cat-Cow with Breath Focus,Diaphragm,Low,Strengthen Muscle 
Seated Diaphragm Activation,Diaphragm,Low,Strengthen Muscle 
Controlled Exhale Exercise,Diaphragm,Low,Strengthen Muscle 
Standing Diaphragm Press,Diaphragm,Low,Strengthen Muscle 
Seated Diaphragmatic Breathing,Diaphragm,Moderate,Strengthen Muscle 
Pursed-Lip Breathing,Diaphragm,Moderate,Strengthen Muscle 
Seated Side Stretch with Breathing,Diaphragm,Moderate,Strengthen Muscle 
Side-Lying Diaphragm Stretch,Diaphragm,Moderate,Strengthen Muscle 
Diaphragm Expansion Hold,Diaphragm,Moderate,Strengthen Muscle 
Rib Cage Contraction,Diaphragm,Moderate,Strengthen Muscle 
None,Diaphragm,Severe,Strengthen Muscle 
Cat-Cow Stretch,Multifidus,Low,Strengthen Muscle 
Bird Dog (No Weight),Multifidus,Low,Strengthen Muscle 
Knees-to-Chest Stretch,Multifidus,Low,Strengthen Muscle 
Prone Arm and Leg Lifts,Multifidus,Low,Strengthen Muscle 
Bridge Pose (No Weight),Multifidus,Low,Strengthen Muscle 
Standing Back Extensions,Multifidus,Low,Strengthen Muscle 
Child’s Pose with Lower Back Focus,Multifidus,Moderate,Strengthen Muscle 
Seated Forward Fold,Multifidus,Moderate,Strengthen Muscle 
Supine Twist,Multifidus,Moderate,Strengthen Muscle 
Bird Dog with Hold,Multifidus,Moderate,Strengthen Muscle 
Superman (No Weight),Multifidus,Moderate,Strengthen Muscle 
Side Plank (Knees Bent),Multifidus,Moderate,Strengthen Muscle 
None,Multifidus,Severe,Strengthen Muscle 
Arm Circles,Deltoids,Low,Improve Mobility
Shoulder Rolls,Deltoids,Low,Improve Mobility
Cat-Cow Pose with Shoulder Focus,Deltoids,Low,Improve Mobility
Supine Shoulder Flexion,Deltoids,Low,Improve Mobility
Wand Shoulder Flexion,Deltoids,Low,Improve Mobility
Wall Walk,Deltoids,Low,Improve Mobility
Pendulum Swings,Deltoids,Low,Improve Mobility
Thread the Needle Stretch,Deltoids,Low,Improve Mobility
Arm Circles,Deltoids,Moderate,Improve Mobility
Wall Slides,Deltoids,Moderate,Improve Mobility
Pendulum Swings,Deltoids,Moderate,Improve Mobility
Resistance Band Shoulder Raises,Deltoids,Moderate,Improve Mobility
Isometric Shoulder Holds,Deltoids,Moderate,Improve Mobility
Scapular Retraction Exercises,Deltoids,Moderate,Improve Mobility
None,Deltoids,Severe,Improve Mobility
Arm Circles,Biceps,Low,Improve Mobility
Supine Bicep Stretch,Biceps,Low,Improve Mobility
Shoulder Rolls,Biceps,Low,Improve Mobility
Diaphragmatic Breathing,Biceps,Low,Improve Mobility
Active Elbow Flexion and Extension,Biceps,Low,Improve Mobility
Wand Biceps Mobility,Biceps,Low,Improve Mobility
Tabletop Stretch,Biceps,Low,Improve Mobility
Pendulum Swings for Elbow,Biceps,Low,Improve Mobility
Arm Circles,Biceps,Moderate,Improve Mobility
Tabletop Wrist Stretch,Biceps,Moderate,Improve Mobility
Pendulum Swings,Biceps,Moderate,Improve Mobility
Resistance Band Curls,Biceps,Moderate,Improve Mobility
Isometric Bicep Hold,Biceps,Moderate,Improve Mobility
Eccentric Bicep Curls,Biceps,Moderate,Improve Mobility
None,Biceps,Severe,Improve Mobility
Wall Chest Stretch,Chest,Low,Improve Mobility
Arm Circles,Chest,Low,Improve Mobility
Seated Shoulder Rolls,Chest,Low,Improve Mobility
Incline Chest Squeeze (No Weight),Chest,Low,Improve Mobility
Wall Push-Ups,Chest,Low,Improve Mobility
Chest Fly (No Weight),Chest,Low,Improve Mobility
Doorway Chest Stretch,Chest,Moderate,Improve Mobility
Cat-Cow with Chest Expansion,Chest,Moderate,Improve Mobility
Bent Arm Wall Stretch,Chest,Moderate,Improve Mobility
Modified Wall Push-Up,Chest,Moderate,Improve Mobility
Resistance Band Chest Squeeze (Low Resistance),Chest,Moderate,Improve Mobility
Floor Chest Press (No Weight),Chest,Moderate,Improve Mobility
None,Chest,Severe,Improve Mobility
Neck Tilt Stretch,Neck,Low,Improve Mobility
Side-to-Side Neck Rotation,Neck,Low,Improve Mobility
Shoulder Rolls,Neck,Low,Improve Mobility
Chin Tucks (No Weight),Neck,Low,Improve Mobility
Shoulder Blade Squeeze,Neck,Low,Improve Mobility
Shoulder Shrugs (No Weight),Neck,Low,Improve Mobility
Levator Scapula Stretch,Neck,Moderate,Improve Mobility
Cat-Cow with Neck Movement,Neck,Moderate,Improve Mobility
Neck Retraction,Neck,Moderate,Improve Mobility
Isometric Neck Holds,Neck,Moderate,Improve Mobility
Wall Angels,Neck,Moderate,Improve Mobility
Resistance Band Rows (Low Resistance),Neck,Moderate,Improve Mobility
None,Neck,Severe,Improve Mobility
Overhead Triceps Stretch,Triceps,Low,Improve Mobility
Arm Circles,Triceps,Low,Improve Mobility
Cross-Body Arm Stretch,Triceps,Low,Improve Mobility
Wall Push-Ups,Triceps,Low,Improve Mobility
Isometric Triceps Hold,Triceps,Low,Improve Mobility
Triceps Squeeze (No Weight),Triceps,Low,Improve Mobility
Wall Triceps Stretch,Triceps,Moderate,Improve Mobility
Seated Arm Extension,Triceps,Moderate,Improve Mobility
Overhead Reach with Support,Triceps,Moderate,Improve Mobility
Modified Wall Push-Up,Triceps,Moderate,Improve Mobility
Resistance Band Triceps Extensions (Low Resistance),Triceps,Moderate,Improve Mobility
Chair Dips (No Weight),Triceps,Moderate,Improve Mobility
None,Triceps,Severe,Improve Mobility
Dynamic Quadriceps Stretch,Quadriceps,Low,Improve Mobility
Standing Leg Raises,Quadriceps,Low,Improve Mobility
Heel Slides,Quadriceps,Low,Improve Mobility
Bodyweight Squats,Quadriceps,Low,Improve Mobility
Lunges,Quadriceps,Low,Improve Mobility
Step-Ups,Quadriceps,Low,Improve Mobility
Heel Slides,Quadriceps,Moderate,Improve Mobility
Wall Slides,Quadriceps,Moderate,Improve Mobility
Straight Leg Raises,Quadriceps,Moderate,Improve Mobility
Resistance Band Leg Extensions,Quadriceps,Moderate,Improve Mobility
Isometric Quad Contractions,Quadriceps,Moderate,Improve Mobility
Mini Squats,Quadriceps,Moderate,Improve Mobility
None,Quadriceps,Severe,Improve Mobility
Dynamic Leg Swings,Hamstrings,Low,Improve Mobility
Heel Slides,Hamstrings,Low,Improve Mobility
Seated Hamstring Stretch,Hamstrings,Low,Improve Mobility
Glute Bridge,Hamstrings,Low,Improve Mobility
Single-Leg Deadlift,Hamstrings,Low,Improve Mobility
Standing Hamstring Stretch,Hamstrings,Low,Improve Mobility
Modified Downward Dog,Hamstrings,Moderate,Improve Mobility
Seated Forward Fold,Hamstrings,Moderate,Improve Mobility
Supine Hamstring Stretch with Strap,Hamstrings,Moderate,Improve Mobility
