exercise_id,exercise_name,muscle_group,exercise_type,description,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,recommended_duration,difficulty_level,benefit_1,benefit_2,benefit_3,precaution_1,precaution_2,precaution_3,image_path,video_path,requires_equipment,equipment_needed,min_pain_level,max_pain_level,severe_pain_contraindicated
STRETCH_011,Seated Forward Fold,Multifidus,warmup,Gentle spinal flexion to warm up deep back muscles and improve flexibility,Sit on floor with legs extended straight in front of you,Keep spine tall and shoulders back and down,Reach forward with both hands toward your toes or shins,Keep knees slightly bent if needed to maintain straight back,Hold for 20-30 seconds while breathing deeply,Relax and breathe deeply focusing on spinal movement,Focus on hinging from hips rather than rounding spine,Breathe into your back and feel the gentle stretch,45,beginner,Improves spinal flexibility and forward bending,Activates deep back muscles and hamstrings,Reduces spinal tension and improves posture,Avoid if you have severe back pain or disc issues,Stop if you feel sharp pain or nerve discomfort,Modify if you have hip issues by sitting on cushion,assets/images/stretches/seated_forward_fold.png,,false,,4,10,true
STRETCH_012,Supine Knee Rolls,Multifidus,cooldown,Gentle spinal rotation for deep back muscle recovery and mobility improvement,Lie on your back with knees bent and feet flat on floor,Place feet hip-width apart and arms extended to sides,Keep shoulders flat on floor throughout the movement,Gently roll knees to the right while keeping feet together,Hold for 10-15 seconds and feel the gentle spinal rotation,Return to center and pause briefly,Slowly roll knees to the left and hold for 10-15 seconds,Focus on smooth controlled movement and deep breathing,60,beginner,Relaxes deep back muscles and improves spinal mobility,Reduces spinal tension and promotes recovery,Improves rotational flexibility and range of motion,Stop if you feel pain in lower back or hips,Modify range of motion based on your comfort level,Use cushion under knees if needed for comfort,assets/images/stretches/supine_knee_rolls.png,,false,,3,10,true
STRETCH_013,Spinal Twist,Multifidus,warmup,Seated spinal rotation to warm up deep back muscles and improve mobility,Sit on floor with legs extended and spine tall,Cross right leg over left leg placing foot beside left knee,Place left hand on right knee for gentle support,Spread right arm behind you and slowly rotate torso to the right,Keep spine tall and avoid forcing the rotation,Hold for 15-20 seconds while breathing deeply,Switch sides and repeat with left leg crossed over right,Breathe deeply throughout and focus on spinal rotation,40,intermediate,Improves spinal rotation and deep back mobility,Activates multifidus and deep stabilizing muscles,Reduces spinal stiffness and improves flexibility,Avoid if you have severe back pain or recent injury,Stop if you feel sharp pain or discomfort,Modify by reducing rotation range if needed,assets/images/stretches/spinal_twist.png,,false,,4,10,true
STRETCH_014,Standing Quad Stretch,Quadriceps,warmup,Classic quadriceps stretch to prepare leg muscles for activity and improve flexibility,Stand tall with feet hip-width apart and hold wall or chair for balance,Bend right knee and bring heel toward glutes,Grasp right ankle with right hand and gently pull heel closer,Hold for 20-30 seconds while maintaining good posture,Keep knees close together and avoid arching lower back,Switch legs and repeat with left quad stretch,Keep standing leg slightly bent and maintain balance,Breathe deeply throughout and focus on quad muscle stretch,45,beginner,Improves quadriceps flexibility and range of motion,Prepares leg muscles for dynamic activity,Reduces muscle tension and improves circulation,Use wall or chair for balance if needed especially if new to stretching,Modify if you have knee issues by using a strap around ankle,Stop if you feel sharp pain in knee or quad muscle,assets/images/stretches/standing_quad.png,,false,,4,10,true
STRETCH_015,Seated Hamstring Stretch,Hamstrings,cooldown,Gentle hamstring stretch for post-exercise recovery and flexibility improvement,Sit on floor with legs extended straight in front of you,Keep spine tall and shoulders back and down,Reach forward with both hands toward your toes or shins,Keep knees slightly bent if needed to maintain straight back,Hold for 30-45 seconds while breathing deeply,Breathe deeply and relax allowing hamstrings to release,Don't bounce or force the stretch maintain steady pressure,Focus on lengthening the back of your legs gradually,60,beginner,Improves hamstring flexibility and reduces muscle soreness,Reduces muscle tension and promotes recovery,Improves posterior chain flexibility and mobility,Avoid if you have severe back issues or recent hamstring injury,Use strap around feet if you can't reach comfortably,Stop if you feel sharp pain in hamstrings or lower back,assets/images/stretches/seated_hamstring.png,, hedge,,3,10,true
STRETCH_016,Wall Calf Stretch,Calf,warmup,Effective calf stretch using wall support to prepare for walking running or jumping activities,Stand facing a wall with hands placed at shoulder height,Step right foot back 2-3 feet keeping heel on ground,Keep right leg straight and left knee slightly bent,Lean forward slightly to feel stretch in right calf muscle,Hold for 20-30 seconds while breathing normally,Switch legs and repeat with left foot back,Adjust distance from wall to increase or decrease stretch intensity,Breathe deeply throughout and focus on calf muscle lengthening,40,beginner,Improves calf flexibility and prepares for lower body activity,Reduces muscle tension and improves circulation,Prepares calf muscles for walking running and jumping,Modify distance from wall based on your flexibility level,Use wall for support and stability throughout the stretch,Stop if you feel sharp pain in calf or Achilles tendon,assets/images/stretches/wall_calf.png,,false,,4,10,true
STRETCH_017,Standing Calf Stretch,Calf,cooldown,Effective calf stretch for post-exercise recovery and muscle tension relief,Stand facing a wall with hands placed at shoulder height,Step right foot back 2-3 feet keeping heel firmly on ground,Keep right leg straight and left knee slightly bent,Lean forward slightly to feel stretch in right calf muscle,Hold for 30-45 seconds while breathing deeply,Switch legs and repeat with left foot back,Relax and breathe deeply allowing calf muscles to release tension,Adjust distance from wall to find comfortable stretch intensity,60,beginner,Improves calf flexibility and reduces muscle soreness,Reduces muscle tension and promotes recovery,Improves circulation and reduces post-exercise stiffness,Modify distance from wall based on your comfort and flexibility,Use wall for support and maintain good posture throughout,Stop if you feel sharp pain in calf or Achilles tendon,assets/images/stretches/standing_calf.png,,false,,3,10,true
STRETCH_018,Cross-Body Arm Stretch,Deltoids,warmup,Shoulder stretch to prepare upper body for exercise and improve shoulder mobility,Stand or sit with good posture and shoulders relaxed,Extend right arm straight across chest at shoulder height,Use left hand to gently pull right arm closer to your body,Keep right arm straight and feel stretch in right shoulder,Hold for 20-30 seconds while breathing normally,Keep shoulders relaxed and avoid lifting them toward ears,Switch arms and repeat with left arm across chest,Breathe normally throughout and focus on shoulder muscle stretch,35,beginner,Improves shoulder mobility and flexibility,Reduces shoulder tension and prepares for upper body work,Activates deltoid muscles and improves range of motion,Modify if you have shoulder issues by reducing stretch intensity,Use gentle pressure and avoid forcing the stretch,Stop if you feel sharp pain in shoulder or arm,assets/images/stretches/cross_body_arm.png,,false,,4,10,true
STRETCH_019,Shoulder Rolls,Deltoids,warmup,Dynamic shoulder mobility exercise to warm up deltoid muscles and improve circulation,Stand or sit with good posture and arms by your sides,Slowly roll shoulders backward in large circular motions,Continue rolling for 10-15 repetitions focusing on smooth movement,Reverse direction and roll shoulders forward for 10-15 repetitions,Keep movements controlled and avoid jerky motions,Breathe normally throughout and focus on shoulder mobility,Feel the movement in your deltoid muscles and shoulder joints,Gradually increase range of motion as muscles warm up,45,beginner,Improves shoulder mobility and circulation,Activates deltoid muscles and prepares for upper body activity,Reduces shoulder tension and improves range of motion,Stop if you feel pain in shoulders or neck during movement,Keep movements smooth and controlled avoid jerky motions,Modify range of motion if you have shoulder limitations,assets/images/stretches/shoulder_rolls.png,,false,,3,10,true
STRETCH_020,Neck Roll Stretch,Cervical Muscle,warmup,Gentle neck mobility exercise to prepare cervical muscles and reduce tension,Sit or stand with good posture and shoulders relaxed,Slowly lower right ear toward right shoulder without forcing,Hold for 5-10 seconds and feel gentle stretch in left neck muscles,Slowly roll head forward bringing chin toward chest,Continue rolling to left side bringing left ear toward left shoulder,Hold left position for 5-10 seconds feeling stretch in right neck muscles,Slowly roll head back to center and repeat 2-3 times,Move slowly and gently throughout avoiding quick jerky movements,45,beginner,Improves neck mobility and reduces cervical tension,Prepares cervical muscles for movement and activity,Reduces neck stiffness and improves circulation,Move slowly and gently to avoid injury or dizziness,Stop if you feel dizziness nausea or sharp pain,Modify range of motion if you have neck limitations,assets/images/stretches/neck_roll.png,,false,,3,10,true
STRETCH_021,Seated Glute Stretch,Gluteals,cooldown,Effective glute stretch for post-exercise recovery and hip flexibility improvement,Sit on floor with legs extended straight in front of you,Bend right knee and place right ankle on left knee above the knee,Place hands behind left thigh and gently pull left leg toward chest,Feel stretch in right glute muscle and hip area,Hold for 30-45 seconds while breathing deeply,Keep spine tall and avoid rounding your back,Breathe deeply and relax allowing glute muscles to release,Switch legs and repeat with left ankle on right knee,60,beginner,Improves glute flexibility and reduces muscle soreness,Reduces muscle tension and promotes recovery,Promotes hip mobility and reduces post-exercise disorders,Modify if you have hip issues by using cushion for comfort,Use cushion under hips if sitting on floor is uncomfortable,Stop if you feel sharp pain in hip or glute area,assets/images/stretches/seated_glute.png,,false,,3,10,true
STRETCH_022,Hip Flexor Stretch,Gluteals,warmup,Standing hip flexor stretch to prepare hip muscles for activity and improve mobility,Stand with feet hip-width apart and hold wall or chair for balance,Step right foot forward into lunge position with left foot back,Bend right knee and keep left leg straight behind you,Place hands on right thigh and gently push hips forward,Feel stretch in left hip flexor and front of hip,Hold for 20-30 seconds while breathing normally,Switch legs and repeat with left foot forward,Breathe deeply throughout and focus on hip muscle stretch,45,intermediate,Improves hip flexor flexibility and range of motion,Prepares hip muscles for dynamic movement and activity,Reduces hip tension and improves mobility,Use wall or chair for balance if needed especially when starting,Modify by reducing lunge depth if you have knee issues,Stop if you feel sharp pain in hip or knee area,assets/images/stretches/hip_flexor_stretch.png,,false,,4,10,true
STRETCH_023,Tricep Stretch,Triceps,warmup,Upper arm stretch to prepare triceps for activity and improve flexibility,Stand or sit with good posture and shoulders relaxed,Lift right arm overhead and bend elbow to reach behind head,Use left hand to gently push right elbow further back,Feel stretch in right tricep muscle along back of arm,Hold for 20-30 seconds while breathing normally,Keep shoulders relaxed and avoid lifting them toward ears,Switch arms and repeat with left arm overhead,Breathe normally throughout and focus on tricep muscle stretch,30,beginner,Improves tricep flexibility and range of motion,Prepares triceps for pushing movements and upper body activity,Reduces arm tension and improves circulation,Modify if you have shoulder issues by reducing stretch intensity,Use gentle pressure and avoid forcing the stretch,Stop if you feel sharp pain in shoulder or tricep area,assets/images/stretches/tricep_stretch.png,,false,,4,10,true
STRETCH_024,Bicep Stretch,Biceps,warmup,Front arm stretch to prepare biceps for activity and improve flexibility,Stand or sit with good posture and shoulders relaxed,Extend right arm straight out to the side at shoulder height,Place right hand against wall or doorframe for support,Step forward slightly to increase stretch in right bicep,Feel stretch in right bicep muscle along front of arm,Hold for 20-30 seconds while breathing normally,Keep arm straight and maintain good posture throughout,Switch arms and repeat with left arm against wall,Breathe normally throughout and focus on bicep muscle stretch,30,beginner,Improves bicep flexibility and range of motion,Prepares biceps for pulling movements and upper body activity,Reduces arm tension and improves circulation,Modify if you have shoulder issues by reducing stretch intensity,Use gentle pressure and avoid forcing the stretch,Stop if you feel sharp pain in shoulder or bicep area,assets/images/stretches/bicep_stretch.png,,false,,4,10,true
STRETCH_025,Ankle Circles,Ankle,warmup,Gentle ankle mobility exercise to prepare for lower body activity and improve circulation,Sit or stand with good posture and hold wall or chair for balance if needed,Lift right foot slightly off the ground to clear the floor,Slowly rotate ankle in clockwise direction making smooth circles,Make 10-15 circles focusing on full range of motion,Reverse direction and rotate ankle counterclockwise,Make 10-15 circles in counterclockwise direction,Switch to left ankle and repeat the same movements,Breathe normally throughout and focus on ankle mobility,30,beginner,Improves ankle mobility and range of motion,Prepares for walking running and lower body activities,Reduces ankle stiffness and improves circulation,Stop if you feel pain in ankle or foot during movement,Modify range of motion if you have ankle limitations,Consult healthcare provider if you have chronic ankle issues,assets/images/stretches/ankle_circles.png,,false,,3,10,true
STRETCH_026,Toe Stretches,Ankle,cooldown,Gentle toe and ankle stretch for post-exercise recovery and flexibility improvement,Sit on floor with legs extended and spine tall,Point toes forward as far as comfortable and hold for 5 seconds,Flex toes back toward shins as far as comfortable and hold for 5 seconds,Repeat the pointing and flexing motion 5-10 times,Focus on gentle controlled movement without forcing,Spread toes wide apart and hold for 5 seconds then relax,Breathe deeply throughout and focus on toe and ankle mobility,Relax between repetitions and avoid overexertion,Don't force the movement and work within your comfort range,45,beginner,Improves toe flexibility and reduces foot tension,Reduces muscle soreness and promotes circulation,Promotes recovery and improves foot and ankle mobility,Stop if you feel pain in toes or ankles during movement,Modify if you have foot issues by reducing range of motion,Consult healthcare provider if you have chronic foot problems,assets/images/stretches/toe_stretches.png,,false,,3,10,true
STRETCH_027,Wrist Circles,Wrists,warmup,Gentle wrist mobility exercise to prepare for upper body activities and reduce tension,Extend arms in front of you at shoulder height with palms facing down,Slowly rotate wrists in clockwise direction making smooth circles,Make 10-15 circles focusing on full range of motion,Reverse direction and rotate wrists counterclockwise,Make 10-15 circles in counterclockwise direction,Keep arms steady and focus movement only in the wrists,Breathe normally throughout and focus on wrist mobility,Gradually increase range of motion as wrists warm up,30,beginner,Improves wrist mobility and reduces tension,Prepares wrists for upper body activities and exercises,Reduces stiffness and improves circulation in hands and wrists,Stop if you feel pain in wrists or hands during movement,Modify range of motion if you have wrist limitations,Consult healthcare provider if you have chronic wrist issues,assets/images/stretches/wrist_circles.png,,false,,3,10,true
STRETCH_028,Finger Stretches,Hands,warmup,Gentle finger and hand mobility exercise to improve circulation and reduce tension,Extend arms in front of you at shoulder height with palms facing out,Spread fingers as wide as possible and hold for 5 seconds,Make tight fists and hold for 5 seconds,Open hands wide again and repeat 5-10 times,Flex fingers back toward wrists and hold for 5 seconds,Extend fingers forward and hold for 5 seconds,Breathe normally throughout and focus on finger mobility,Keep movements gentle and controlled without forcing,30,beginner,Improves finger and hand mobility,Reduces hand tension and improves circulation,Prepares hands for activities requiring fine motor skills,Stop if you feel pain in fingers or hands during movement,Modify range of motion if you have hand limitations,Consult healthcare provider if you have chronic hand issues,assets/images/stretches/finger_stretches.png,,false,,3,10,true
STRETCH_029,Chest Opener,Chest,warmup,Standing chest stretch to open chest muscles and improve posture,Stand with feet hip-width apart and good posture,Clasp hands behind your back with fingers interlaced,Gently lift hands up and away from your back,Feel stretch across chest and front of shoulders,Hold for 20-30 seconds while breathing deeply,Keep shoulders down and avoid lifting them toward ears,Breathe deeply throughout and focus on chest muscle stretch,Gradually increase the stretch as muscles warm up,40,beginner,Improves chest flexibility and opens tight chest muscles,Improves posture and reduces forward shoulder rounding,Prepares chest muscles for upper body activities,Stop if you feel pain in shoulders or chest during stretch,Use gentle pressure and avoid forcing the stretch,Modify if you have shoulder issues by reducing stretch intensity,assets/images/stretches/chest_opener.png,,false,,4,10,true
STRETCH_030,Doorway Chest Stretch,Chest,cooldown,Effective chest stretch using doorway for post-exercise recovery and flexibility improvement,Stand in doorway with right arm extended to the side,Place right hand and forearm against doorframe at shoulder height,Step forward with right foot to increase stretch in chest,Feel stretch across right side of chest and front of shoulder,Hold for 30-45 seconds while breathing deeply,Switch sides and repeat with left arm against doorframe,Keep shoulders down and avoid lifting them toward ears,Relax and breathe deeply allowing chest muscles to release,60,beginner,Improves chest flexibility and reduces muscle tension,Reduces post-exercise soreness and promotes recovery,Improves posture and reduces chest muscle tightness,Stop if you feel pain in shoulders or chest during stretch,Use gentle pressure and avoid forcing the stretch,Modify if you have shoulder issues by adjusting arm position,assets/images/stretches/doorway_chest_stretch.png,,false,,3,10,true
STRETCH_031,Upper Back Stretch,Upper Back,warmup,Seated upper back stretch to warm up back muscles and improve posture,Sit tall on chair or floor with feet flat on ground,Interlace fingers and extend arms straight in front of you at shoulder height,Round your upper back and push hands forward,Feel stretch between shoulder blades and upper back muscles,Hold for 15-20 seconds while breathing deeply,Release and return to starting position,Repeat 3-5 times focusing on upper back movement,Breathe deeply throughout and focus on back muscle stretch,45,beginner,Improves upper back flexibility and mobility,Reduces upper back tension and improves posture,Prepares back muscles for upper body activities,Stop if you feel pain in upper back or shoulders,Keep movements gentle and controlled,Modify by reducing forward push if needed for comfort,assets/images/stretches/upper_back_stretch.png,,false,,4,10,true
STRETCH_032,Seated Back Extension,Upper Back,cooldown,Gentle back extension stretch for post-exercise recovery and muscle tension relief,Sit tall on chair or floor with feet flat on ground,Place hands on lower back with fingers pointing down,Gently arch back and lift chest while pressing hands into back,Feel stretch in upper back and between shoulder blades,Hold for 10-15 seconds while breathing normally,Release and return to neutral position,Repeat 3-5 times with controlled movement,Breathe normally throughout and focus on back muscle stretch,30,beginner,Relaxes upper back muscles and reduces tension,Improves back flexibility and reduces post-exercise soreness,Promotes recovery and improves spinal mobility,Stop if you feel pain in upper back or spine,Keep movements gentle and avoid overextending,Modify by reducing arch if needed for comfort,assets/images/stretches/seated_back_extension.png,,false,,3,10,true
STRETCH_033,Lat Stretch,Lats,warmup,Standing lat stretch to prepare back muscles for upper body activities,Stand with feet hip-width apart and good posture,Reach right arm overhead and lean gently to the left,Feel stretch along right side of torso and lat muscle,Hold for 15-20 seconds while breathing deeply,Keep hips facing forward and avoid twisting,Switch sides and repeat with left arm overhead,Breathe deeply throughout and focus on lat muscle stretch,Gradually increase the stretch as muscles warm up,40,intermediate,Improves lat flexibility and range of motion,Prepares lat muscles for pulling movements and upper body activity,Reduces back tension and improves mobility,Stop if you feel pain in back or shoulders during stretch,Use gentle pressure and avoid forcing the stretch,Modify if you have back issues by reducing stretch intensity,assets/images/stretches/lat_stretch.png,,false,,4,10,true
STRETCH_034,Lat Doorway Stretch,Lats,cooldown,Effective lat stretch using doorway for post-exercise recovery and flexibility improvement,Stand facing doorway and reach both arms up to doorframe,Place hands on doorframe above head height,Step back and lean forward slightly,Feel stretch along sides of torso and lat muscles,Hold for 30-45 seconds while breathing deeply,Keep core engaged and avoid arching lower back,Relax and breathe deeply allowing lat muscles to release,Adjust hand position to target different areas of lats,60,intermediate,Improves lat flexibility and reduces muscle tension,Reduces post-exercise soreness and promotes recovery,Improves back mobility and reduces muscle tightness,Stop if you feel pain in back or shoulders during stretch,Use gentle pressure and avoid forcing the stretch,Modify hand position if you have shoulder limitations,assets/images/stretches/lat_doorway_stretch.png,,false,,3,10,true
STRETCH_035,Hip Circles,Hips,warmup,Dynamic hip mobility exercise to prepare hip joints for movement and activity,Stand with feet hip-width apart and hands on hips,Slowly rotate hips in large circular motions clockwise,Continue rotating for 10-15 repetitions focusing on smooth movement,Reverse direction and rotate hips counterclockwise,Continue for 10-15 repetitions in counterclockwise direction,Keep movements controlled and avoid jerky motions,Breathe normally throughout and focus on hip mobility,Feel the movement in your hip joints and surrounding muscles,45,beginner,Improves hip mobility and range of motion,Activates hip muscles and prepares for lower body activity,Reduces hip stiffness and improves circulation,Stop if you feel pain in hips or lower back during movement,Keep movements smooth and controlled avoid jerky motions,Modify range of motion if you have hip limitations,assets/images/stretches/hip_circles.png,,false,,3,10,true
STRETCH_036,Pigeon Pose,Hips,cooldown,Advanced hip stretch for post-exercise recovery and deep hip flexibility improvement,Start on hands and knees in tabletop position,Bring right knee forward and place behind right wrist,Extend left leg straight back and lower to forearms if comfortable,Feel stretch in right hip and glute area,Hold for 30-60 seconds while breathing deeply,Switch sides and repeat with left knee forward,Keep movements slow and controlled,Relax and breathe deeply allowing hip muscles to release,90,advanced,Improves deep hip flexibility and range of motion,Reduces hip tension and promotes recovery,Stretches hip flexors and external rotators,Stop if you feel pain in hips or knees during stretch,Modify by staying on hands instead of forearms if needed,Consult healthcare provider if you have hip or knee issues,assets/images/stretches/pigeon_pose.png,,false,,6,10,true
STRETCH_037,IT Band Stretch,IT Band,warmup,Standing IT band stretch to prepare lateral thigh muscles for activity,Stand with feet hip-width apart and hold wall for balance,Cross right leg behind left leg and lean to the left,Feel stretch along right side of thigh and IT band,Hold for 15-20 seconds while breathing normally,Keep both legs straight and avoid bending at waist,Switch sides and repeat with left leg crossed behind right,Breathe normally throughout and focus on IT band stretch,40,intermediate,Improves IT band flexibility and reduces lateral thigh tension,Prepares lateral thigh muscles for running and walking activities,Reduces risk of IT band syndrome and knee pain,Stop if you feel pain in knee or thigh during stretch,Use wall for balance and support throughout the stretch,Modify if you have knee issues by reducing stretch intensity,assets/images/stretches/it_band_stretch.png,,false,,4,10,true
STRETCH_038,Foam Roller IT Band,IT Band,cooldown,Foam roller exercise for IT band recovery and muscle tension relief,Lie on your side with foam roller under right hip,Support your body weight with right forearm and left hand,Slowly roll from hip to knee along the IT band,Focus on areas that feel tight or tender,Pause on tender spots and breathe deeply for 30-60 seconds,Roll back and forth for 1-2 minutes on each side,Keep movements slow and controlled,Switch to left side and repeat the rolling motion,120,intermediate,Reduces IT band tension and muscle soreness,Improves circulation and promotes muscle recovery,Helps prevent IT band syndrome and knee pain,Stop if you feel excessive pain or discomfort,Use proper form and avoid rolling over bony areas,Consult healthcare provider if you have chronic IT band issues,assets/images/stretches/foam_roller_it_band.png,true,foam roller,,6,10,true
